# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Aug 12 18:25:49 BST 2021 [seed=1628789148168]
# B.1.1.33.dataset.aln.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-53836.9088154826	-253.3061405850155	-53583.602674897586	1.7884682833451442	2018.7907666893325	19.400878874042913	1.0	0.0	2.0	2.0	0.2500000002	0.25	0.25	0.24999999979999998	0.5	0.5	0.7499749197431782	1.5001003310926055	0.01	0.009999999999999995	-53583.602674897586	0.0	-254.77085786858063
1000	-50337.027422466126	-290.3334387055254	-50046.693983760604	1.3144643808728012	2019.2647705918048	19.151436649986028	0.8140537587348972	-0.5802735268900008	5.014411155721424	3.786048741603222	0.2619215402516372	0.23950673634910322	0.2379694712562169	0.26060225214304267	0.306256405676031	0.2533685345855133	0.8185219784421486	1.3629924588920768	0.001891659248452016	0.0018916592484520157	-50046.693983760604	0.0	-290.65217258407404
2000	-50063.500388105254	-314.0484515301389	-49749.45193657512	0.7933628352598793	2019.7858721374178	18.2761669708734	1.173440851509254	0.20798694211301272	6.180071033912251	7.0673644424363165	0.2636801644722891	0.23845908919777245	0.236210847035565	0.26164989929437343	0.22704545952587493	0.12686366967854454	0.8473389901633673	1.3053526529650956	0.0015315489943721105	0.0015315489943721115	-49749.45193657512	0.0	-313.5991492426302
3000	-49868.295580154605	-352.0874661377361	-49516.20811401687	0.7345061123294923	2019.8447288603481	19.432817448178895	2.618085548822351	2.706915437002909	5.940621773951646	6.914318758450464	0.26942245324985153	0.2291236962369799	0.23937525619118077	0.26207859432198777	0.15156449715935888	0.07428031585349733	0.8969532082121716	1.2061142611700761	0.0014638891680526292	0.001463889168052628	-49516.20811401687	0.0	-348.6877766147631
4000	-49776.304302352946	-364.76970707849694	-49411.53459527445	0.7316991507567596	2019.8475358219207	19.924042083183622	2.637190859110551	2.7477071657538437	4.8577133952983065	6.639628601258215	0.2637720488373813	0.2291236962369799	0.23937525619118077	0.267728998734458	0.0874564404102522	0.07939686122262882	0.9371975176908973	1.1256175667015424	0.0013580541011336328	0.001358054101133632	-49411.53459527445	0.0	-361.7931537641484
5000	-49669.05393044819	-362.0324907411716	-49307.02143970702	0.6831593535108094	2019.8960756191668	19.592876946200168	3.3488168183248916	3.5662423357596094	5.779664974826999	6.529654156275436	0.26855888005460793	0.22488265238419858	0.2388294688267355	0.267728998734458	0.04579919806816523	0.04597322497877462	0.975651925214872	1.0487010353081483	0.0015111461923129036	0.0015111461923129018	-49307.02143970702	0.0	-357.92681914590344
6000	-49456.38533937613	-364.57988475297407	-49091.80545462316	0.6442732306865793	2019.934961741991	19.505928072654303	4.403979609636238	4.158136402651966	6.027781792368141	7.381861264465188	0.27299679491539935	0.21784600637483995	0.22922914369535496	0.2799280550144057	0.045558477910246836	0.07961564800490889	0.987750560335934	1.0245013373274623	0.0014627666123715843	0.0014627666123715813	-49091.80545462316	0.0	-359.28243269272804
7000	-49300.41304612623	-367.31272243612017	-48933.10032369011	0.6289229783434361	2019.9503119943342	19.579047370271915	4.071028263222204	4.215223459424399	5.906046383712029	7.020491258611494	0.27299679491539935	0.20816076802776942	0.2318172683140566	0.2870251687427746	0.039962227894719024	0.06570790256243772	1.0201188691963818	0.9597582245109793	0.001441019872531508	0.0014410198725315073	-48933.10032369011	0.0	-362.1879507181464
8000	-49154.13326242377	-365.3387778350233	-48788.79448458875	0.6188843744995307	2019.9603505981781	19.433227828808953	4.16815315348087	4.373947432089885	5.537803067310515	6.902237403349299	0.2808054417536953	0.19537830435805895	0.22885097120500736	0.2949652826832384	0.01245997591310886	0.03655378064315122	0.9806466415217439	1.0387106004437157	0.001512443279982373	0.001512443279982374	-48788.79448458875	0.0	-360.26725304955124
9000	-49037.79373314202	-357.3921322621528	-48680.401600879864	0.6329062554760153	2019.9463287172016	19.14042740681486	5.579375726714867	5.062867594974056	5.599206606480196	6.781840530044141	0.28380768788497723	0.17816153152600622	0.22885097120500736	0.30917980938400924	0.010222873683303529	0.04095726738270664	1.0670714955714165	0.8658435501443	0.0015718142661414012	0.0015718142661413992	-48680.401600879864	0.0	-351.3476553510889
10000	-48933.25066799673	-355.4162002715314	-48577.834467725195	0.61471690352553	2019.964518069152	19.085258636916638	6.032156112888596	5.241782309226943	5.4522392524094405	6.640251247941077	0.2854927143911897	0.18328074833646488	0.21979197581462656	0.311434561457719	0.011578122973475524	0.07442640926796533	1.0789768041792087	0.8420305439834744	0.0014758028716462014	0.0014758028716462003	-48577.834467725195	0.0	-349.11710719171555
11000	-48806.941935413524	-361.48205234462137	-48445.45988306891	0.5927702624093989	2019.9864647102681	19.368172156856755	8.09436122200074	6.519786972230486	5.634552437467795	6.808882139657722	0.2998478210601053	0.1806744678575836	0.19998420924248134	0.31949350183982983	0.01490706152217914	0.055081979293867635	0.9737350318767046	1.0525352066324882	0.0014922760912263859	0.0014922760912263846	-48445.45988306891	0.0	-353.555418764765
12000	-48796.28545802894	-369.04162018048623	-48427.24383784846	0.5811945010950457	2019.9980404715825	19.681221657154186	8.959735169073547	6.879914884759232	4.997713906266355	7.227971288916888	0.297784702284285	0.1806744678575836	0.19218570401724497	0.3293551258408865	0.012256962555316706	0.03030274597714918	1.0020695269880753	0.9958605307480414	0.0014334163147006718	0.0014334163147006712	-48427.24383784846	0.0	-360.78345620481394
13000	-48795.42979723758	-390.81201190549314	-48404.617785332084	0.5983957743162528	2019.9808391983613	20.448312831556482	6.437854549740638	5.678769775674853	5.273411672286451	6.94745229023131	0.2939888002489095	0.18128023157102838	0.19276337291687584	0.3319675952631863	0.016527021021405724	0.03976810825141606	1.015891634137369	0.9682135428752282	0.0014415750036329018	0.001441575003632903	-48404.617785332084	0.0	-384.0463766321728
14000	-48776.80369731086	-396.6450364212001	-48380.15866088966	0.5537832227876366	2020.02545174989	20.60889975408241	7.862877677593381	6.007905612953376	6.473860280170679	6.198639391318	0.294119927681129	0.17742812874691047	0.19002017145527894	0.3384317721166817	0.014607477383845269	0.044590132023269696	1.0165296571398996	0.9669373688430767	0.001312658282698028	0.0013126582826980284	-48380.15866088966	0.0	-389.2173380845358
15000	-48751.883102807245	-396.2986773205661	-48355.58442548668	0.5693652496365825	2020.009869723041	20.707079385872486	6.863418869748154	5.760976955458151	4.9892933769037855	6.279469140796665	0.2985186113948267	0.1764402813087699	0.18879699109331524	0.3362441162030882	0.012206533552801683	0.04294822182733751	1.0268836119506106	0.946227381574458	0.00139505641973033	0.0013950564197303293	-48355.58442548668	0.0	-389.6255255570492
16000	-48724.85995550563	-392.0431234687975	-48332.81683203683	0.5736487524650691	2020.0055862202125	20.667005455520616	8.23273753974303	6.332288918765215	5.896423875679558	6.993157434750051	0.2927128892909708	0.17833987621612463	0.1961001719057723	0.33284706258713237	0.01607874605749758	0.04882582920817026	1.0242010468011362	0.9515930501627909	0.001257423952574846	0.0012574239525748425	-48332.81683203683	0.0	-384.18729903947735
17000	-48742.240232061544	-399.44205054769196	-48342.79818151385	0.5919904669628819	2019.9872445057147	21.073582168253193	8.890005449416378	6.357712457466846	5.397479618948233	6.673384539881008	0.2929194186309473	0.1873155443723608	0.19022914064907348	0.3295358963476185	0.011263551885049553	0.04220113509839757	1.0475458151455068	0.9048988290618211	0.001388879419105525	0.0013888794191055272	-48342.79818151385	0.0	-391.71101169073813
18000	-48722.7912088712	-395.4527938121342	-48327.338415059065	0.6100327699617885	2019.9692022027157	20.902533313096544	10.036236817724147	7.372764900025158	6.080967554924487	8.133035584308923	0.2929194186309473	0.17912292377666397	0.19364179233956155	0.33431586525282725	0.009404284025596557	0.035195320297275005	1.009952987547377	0.9800920277170155	0.0013524666842514123	0.0013524666842514115	-48327.338415059065	0.0	-386.1030072059797
19000	-48703.50148127608	-394.2071504603248	-48309.294330815756	0.5801358969981473	2019.9990990756794	20.879686851066673	12.937769916024079	7.467957860853945	6.590046580590288	8.881767591287247	0.29561983367058603	0.18021204696973683	0.19364179233956155	0.33052632702011564	0.0054803362438324045	0.026070572223653214	1.0125437663811374	0.9749099501781524	0.001345570366699095	0.0013455703666990966	-48309.294330815756	0.0	-384.2581081361013
